id,title,digest,url,author,publish_time
"24","咨询*1&nbsp;|&nbsp;埃森哲实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496362&idx=2&sn=19144ae96921f8b971bac3b8eaa183da&chksm=e9f92d44de8ea4525c46001bda1e573fef657a8af6b3606280ca24ed80935286961addfbdc33&scene=27#wechat_redirect","JC","2020-04-29 08:00:00"
"25","金融*15&nbsp;|&nbsp;中信集团、复星投资、招商证券、海通证券等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496362&idx=3&sn=1267687fe6519c99e3cad1796ab670d8&chksm=e9f92d44de8ea4524dfa7f99f297b93b42a53321277ece074b94aa1daa61e0020efa6680e3b0&scene=27#wechat_redirect","JC","2020-04-29 08:00:00"
"26","多行业*1&nbsp;|&nbsp;eBay实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496362&idx=4&sn=be2316771432ddfbe9ead160f02e6961&chksm=e9f92d44de8ea452efa455a17245e38ad0fec65ac7f69ee0f0b46e53c812b5c873ef1d802050&scene=27#wechat_redirect","JC","2020-04-29 08:00:00"
"27","互联网*21&nbsp;|&nbsp;腾讯、京东、滴滴、网易游戏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496355&idx=1&sn=1c71ec8d2f96f29eeff2fa05dcef17c2&chksm=e9f92d4dde8ea45b7e2fad75e06d9489093daea2c88569bd54a46d9a70910fc49514ac163398&scene=27#wechat_redirect","西西","2020-04-28 08:00:00"
"28","咨询*3&nbsp;|&nbsp;埃森哲、科尔尼实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496355&idx=2&sn=a005cd5be3de2b9e21dd6f9ffa6bb6bc&chksm=e9f92d4dde8ea45ba9f29d64e38561111998cdf21777b4447391bdabcdf1da483a90ec044f64&scene=27#wechat_redirect","西西","2020-04-28 08:00:00"
"29","金融*18&nbsp;|&nbsp;中金公司、广发证券、东北证券、云锋基金、复星集团等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496355&idx=3&sn=2747cd81652424f59cb223cfe7b91288&chksm=e9f92d4dde8ea45b536fdb4eca250a187e6f2147ea8fcfd433cafa7b286a9e5bd087b63ccf3f&scene=27#wechat_redirect","西西","2020-04-28 08:00:00"
"30","多行业*5&nbsp;|&nbsp;德勤、HRnetOne、侨鑫集团等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496355&idx=4&sn=7cd1d6260d086ec6a12c1d0dae59c462&chksm=e9f92d4dde8ea45bbd5808c83e10aa1d0de7b096fb3641bc9d8c0ba4bbd7ce54989dcf768b16&scene=27#wechat_redirect","西西","2020-04-28 08:00:00"
"31","互联网*15&nbsp;|&nbsp;京东、字节跳动、网易游戏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496347&idx=1&sn=7c1eeca2ed28d5be2c1206124b831537&chksm=e9f92d75de8ea463d2bcfd7aea36a097b1547078771cd06691a49f531d9b4071593b2ffcc853&scene=27#wechat_redirect","Tang","2020-04-27 08:00:00"
"32","咨询*7&nbsp;|&nbsp;平安科技、滴滴、京东数科等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496347&idx=2&sn=a94440bd28ee16f7867e5700a1da6ab1&chksm=e9f92d75de8ea463c56c82b85d6cef1ac2f7b71344d2617d6d532e5ae54e3a51e6eedfdb61c2&scene=27#wechat_redirect","Tang","2020-04-27 08:00:00"
"33","金融*16&nbsp;|&nbsp;招商证券、平安集团、申万宏源等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496347&idx=3&sn=90496c97b5d5fead912a93eab990f0a0&chksm=e9f92d75de8ea4632bac3698be9dafc950fb6b5f850095a3dfc52e72e38997c02522884ba2c7&scene=27#wechat_redirect","Tang","2020-04-27 08:00:00"
"34","多行业*5&nbsp;|&nbsp;联合利华、达能、字节跳动等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496347&idx=4&sn=e3add2dc2ab3c8bc592b8dc123b8089e&chksm=e9f92d75de8ea46323b0b677b3fd989992e0c6cdf04d94ac1aa043a1abb95644a2d2db7afaae&scene=27#wechat_redirect","Tang","2020-04-27 08:00:00"
"35","互联网*14&nbsp;|&nbsp;腾讯、字节跳动、百度、美团点评、网易、京东、小米等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496334&idx=1&sn=28244f09e57274e1b696354baf877254&chksm=e9f92d60de8ea476a32483cd416e9e0e0dc8466dfa5235e9eabd2323dcab63191829bb6dcb18&scene=27#wechat_redirect","JC","2020-04-24 18:00:00"
"36","咨询*5&nbsp;|&nbsp;保时捷咨询、埃森哲、德勤咨询、安永咨询实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496334&idx=2&sn=f1dc03cff0a7ca15db57f9009ae69f32&chksm=e9f92d60de8ea476adaab73bd97b05fa671420ec86e50b92961b783f8cf57e4dab67be73c366&scene=27#wechat_redirect","JC","2020-04-24 18:00:00"
"37","金融*35&nbsp;|&nbsp;青桐资本、中信资本、钟鼎资本、复星投资实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496334&idx=3&sn=893227adf3dabc390578790d9544a570&chksm=e9f92d60de8ea4760f9a34bd0bad0396beb87403c5abae3f58d78ff177b34e3c5b9d072d6932&scene=27#wechat_redirect","JC","2020-04-24 18:00:00"
"38","多行业*5&nbsp;|&nbsp;联合利华、耐克、万博宣伟、滴滴出行等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496334&idx=4&sn=368ccc997d700c96d1eefc9c6849d9ce&chksm=e9f92d60de8ea476b9de041fcfa9d63fa99b3257bd3195522abddc9211fd6f99ecf24406d365&scene=27#wechat_redirect","JC","2020-04-24 18:00:00"
"39","暑假实习来袭丨“我一个学金融的，找个好实习也太难了！”（附Wind/研报10G资料）","每到这种时候，总是深刻体会到来自同龄人的“恶意”","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496327&idx=1&sn=8a5514b46c4c751044453957b814f77c&chksm=e9f92d69de8ea47f219394ffa05d7a6392dd739befbd4268092f1f26e4e1d0f49cdf379afb1c&scene=27#wechat_redirect","","2020-04-23 08:00:00"
"40","互联网*7&nbsp;|&nbsp;腾讯、字节跳动、4399游戏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496327&idx=2&sn=a3b82d6e7e589794ab95536bce577500&chksm=e9f92d69de8ea47f4c6cbb49dc7ddfc4d953f3e970fd86bdc851ef5817e962933148f6534a8a&scene=27#wechat_redirect","","2020-04-23 08:00:00"
"41","咨询*3&nbsp;|&nbsp;腾讯战略、埃森哲等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496327&idx=3&sn=8630009314df8f91f9288cfac9fae722&chksm=e9f92d69de8ea47f733413849c65b703e7175a4f979138282977966bcef9c3090e458f0e4146&scene=27#wechat_redirect","","2020-04-23 08:00:00"
"42","金融*15&nbsp;|&nbsp;中信资本、复星集团、钟鼎资本等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496327&idx=4&sn=def954412b2f6b1a09c30781d0917dad&chksm=e9f92d69de8ea47f1634ed3e8d6c3f27e26bff03392759bd8c0aba55a3a61c51f3247ccee639&scene=27#wechat_redirect","","2020-04-23 08:00:00"
"43","多行业*4&nbsp;|&nbsp;字节跳动HR、万宝龙等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496327&idx=5&sn=d38c224870226f5b3490bc33f29d1913&chksm=e9f92d69de8ea47f6465ee498455ac0754766c82de8ed77acec7f5b3e42b3be181102bb9fe27&scene=27#wechat_redirect","","2020-04-23 08:00:00"
"44","互联网*10 | 腾讯、滴滴、小米、网易游戏、快手等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496322&idx=1&sn=f26de155ac234a9a1637be7987dbc917&chksm=e9f92d6cde8ea47aba7e04930bd7fc97da92eacb3d4bd15c7a9abd134dcb58c568403a708d8c&scene=27#wechat_redirect","JC","2020-04-22 08:00:00"
"45","咨询*4 | 腾讯战略、小米战投、雀巢战略、埃森哲实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496322&idx=2&sn=42955e61137a07d276d87476a2670e69&chksm=e9f92d6cde8ea47ae5dd7aeed2eaddfc66f2caeb31f5c5f59fa7e043afdb3ddd868e5134afdf&scene=27#wechat_redirect","JC","2020-04-22 08:00:00"
"46","金融*23 | 中金公司、招商局资本、中信建投、广发证券实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496322&idx=3&sn=e0ed5a441331f264c61f6ed748eef926&chksm=e9f92d6cde8ea47ac5b92f9fab382c25b494c57ceb517236d910e76211229ad13a7bbcd895fa&scene=27#wechat_redirect","JC","2020-04-22 08:00:00"
"47","多行业*4 | 玛氏、字节跳动、网易游戏、越秀等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496322&idx=4&sn=7ee0202262902d9bcbf78287d8379de4&chksm=e9f92d6cde8ea47a03da6a3c4e300d16608515a93678a6b92857687d706e96e9236a3b8ebc07&scene=27#wechat_redirect","JC","2020-04-22 08:00:00"
"48","互联网*4 | 小米、京东、网易游戏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496313&idx=1&sn=72b3c01760d731c5df70ba3acb210c9a&chksm=e9f92d97de8ea481c3cc196e82ddb5880e959cd6d4587da03e5fd1cb6447a0e733dc5ad08e7b&scene=27#wechat_redirect","西西","2020-04-21 08:00:00"
"49","咨询*1 | 埃森哲实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496313&idx=2&sn=ce81fa19af859d30887bae2d3739141d&chksm=e9f92d97de8ea4810fe9e192286f23ceed02531a8ad0dc669a31d6d04d53879ee0b0a351c3b7&scene=27#wechat_redirect","西西","2020-04-21 08:00:00"
