id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
86,NO BACKGROUND,,,,,,,,,,,,,,
87,NO BACKGROUND,,,,,,,,,,,,,,
88,NO BACKGROUND,,,,,,,,,,,,,,
89,中信信托金融实习,安世联合保险经纪有限公司实习,北京中守会计师事务所财务实习,新能源电池企业并购研究,,,,,,,,,,,
90,中信信托金融实习,安世联合保险经纪有限公司实习,北京中守会计师事务所财务实习,新能源电池企业并购研究,,,,,,,,,,,
91,中信信托金融实习,安世联合保险经纪有限公司实习,北京中守会计师事务所财务实习,新能源电池企业并购研究,,,,,,,,,,,
92,北京城建集团,毕设：分子筛催化剂上非氨SCR反应的研究,全国大学生节能减排社会实践与科技竞赛,校级：六价铬对厌氧消化产甲烷的影响,,,,,,,,,,,
93,江苏汇鸿集团实习,南京春蚕教育有限公司实习,美国大学生数学建模竞赛H奖,大学生创新创业项目,基于医脉通网站的药品名命名实体识,“互联网+”大学生创新创业大赛,,,,,,,,,
94,天风证券金工组实习,普华永道管理咨询实习,湖北消费金融公司数据部实习,2019美国大学生数学建模竞赛,,,,,,,,,,,
95,德勤咨询实习,未明学院项目,国泰君安投资银行总部债务融资部实习,安永华明会计师事务所金融组审计实习生,苏州大学“挑战杯“三等奖,中国纺织类高校大学生创意创新创业大赛优秀奖,,,,,,,,,
96,玛氏数据分析实习,DataYes量化分析实习,IBM暑期实习,伯克利交换,校级科研项目,全国大学生创新创业大赛,,,,,,,,,
97,玛氏数据分析实习,DataYes量化分析实习,IBM暑期实习,伯克利交换,校级科研项目,全国大学生创新创业大赛,,,,,,,,,
98,玛氏数据分析实习,DataYes量化分析实习,IBM暑期实习,伯克利交换,校级科研项目,全国大学生创新创业大赛,,,,,,,,,
99,华泰证券行业研究部实习生,国融证券营业部投资经理助理,国家级比赛全国大学生管理决策模拟大赛校级二等奖,牛津大学暑期课程,,,,,,,,,,,
100,尼尔森汽车组数据分析实习,华泰证券金融工程组实习,巴鲁克学院交换,,,,,,,,,,,,
101,地平线机器人技术智能驾驶研发部门数据实习生,江苏沙钢集团有限公司计算机中心实习生,美国大学生数学建模竞赛二等奖,校级科研项目区县级河长制管理体系及实施探讨,机器学习项目：用户用电违约预测,机器学习课程设计：用户用电违约预测,信息系统分析与设计课程设计：外卖订餐系统的设计,,,,,,,,
102,华泰证券行业研究部实习生,国融证券营业部投资经理助理,国家级比赛全国大学生管理决策模拟大赛校级二等奖,牛津大学暑期课程,,,,,,,,,,,
103,地平线机器人技术智能驾驶研发部门数据实习生,江苏沙钢集团有限公司计算机中心实习生,美国大学生数学建模竞赛二等奖,校级科研项目区县级河长制管理体系及实施探讨,机器学习项目：用户用电违约预测,机器学习课程设计：用户用电违约预测,信息系统分析与设计课程设计：外卖订餐系统的设计,,,,,,,,
104,华泰证券行业研究部实习生,国融证券营业部投资经理助理,国家级比赛全国大学生管理决策模拟大赛校级二等奖,牛津大学暑期课程,,,,,,,,,,,
105,地平线机器人技术智能驾驶研发部门数据实习生,江苏沙钢集团有限公司计算机中心实习生,美国大学生数学建模竞赛二等奖,校级科研项目区县级河长制管理体系及实施探讨,机器学习项目：用户用电违约预测,机器学习课程设计：用户用电违约预测,信息系统分析与设计课程设计：外卖订餐系统的设计,,,,,,,,
106,华泰证券行业研究部实习生,国融证券营业部投资经理助理,国家级比赛全国大学生管理决策模拟大赛校级二等奖,牛津大学暑期课程,,,,,,,,,,,
107,华泰证券行业研究部实习生,国融证券营业部投资经理助理,国家级比赛全国大学生管理决策模拟大赛校级二等奖,牛津大学暑期课程,,,,,,,,,,,
108,NO BACKGROUND,,,,,,,,,,,,,,
109,NO BACKGROUND,,,,,,,,,,,,,,
110,NO BACKGROUND,,,,,,,,,,,,,,
111,NO BACKGROUND,,,,,,,,,,,,,,
112,NO BACKGROUND,,,,,,,,,,,,,,
113,NO BACKGROUND,,,,,,,,,,,,,,
114,NO BACKGROUND,,,,,,,,,,,,,,
115,中国建设银行河南灵宝支行实习,IPO发行案例分析—以中石油为例,中国货币为何快速增长—基于货币乘数的分析,,,,,,,,,,,,
116,NO BACKGROUND,,,,,,,,,,,,,,
117,NO BACKGROUND,,,,,,,,,,,,,,
118,NO BACKGROUND,,,,,,,,,,,,,,
119,NO BACKGROUND,,,,,,,,,,,,,,
120,NO BACKGROUND,,,,,,,,,,,,,,
