id,admitted_major,admitted_school,location
1315,环境工程与管理,香港科技大学,香港
1316,化学工程及生物分子工程学,香港科技大学,香港
1317,大数据科技,香港科技大学,香港
1318,大数据科技,香港科技大学,香港
1319,信息技术,香港科技大学,香港
1320,环境工程,香港大学,香港
1321,机械工程,香港大学,香港
1322,机械工程,香港大学,香港
1323,环境工程与管理,香港科技大学,香港
1324,交通工程,香港大学,香港
1325,信息技术,香港科技大学,香港
1326,电信学,香港科技大学,香港
1327,机械与自动化工程,香港中文大学,香港
1328,机械与自动化工程,香港中文大学,香港
1329,机械工程,香港科技大学,香港
1330,机械工程,香港科技大学,香港
1331,航空工程,香港科技大学,香港
1332,土木基建工程与管理,香港科技大学,香港
1333,电子工程,香港科技大学,香港
1334,电子工程,香港科技大学,香港
1335,大数据科技,香港科技大学,香港
1336,大数据科技,香港科技大学,香港
1337,机械工程,香港科技大学,香港
1338,化学工程及生物分子工程学,香港科技大学,香港
1339,电子工程,香港科技大学,香港
1340,土木基建工程与管理,香港科技大学,香港
1341,机械工程,香港大学,香港
1342,环境工程,香港大学,香港
1343,电气与电子工程,香港大学,香港
1344,电子工程,香港科技大学,香港
1345,机械与自动化工程,香港中文大学,香港
1346,机械工程,香港大学,香港
1347,机械工程,香港大学,香港
1348,计算机科学,香港中文大学,香港
1349,化学工程及生物分子工程学,香港科技大学,香港
1350,电信学,香港科技大学,香港
1351,电子工程,香港科技大学,香港
1352,大数据科技,香港科技大学,香港
1353,电子工程,香港科技大学,香港
1354,机械工程,香港科技大学,香港
1355,环境工程与管理,香港科技大学,香港
1356,机械工程,香港科技大学,香港
1357,机械工程,香港科技大学,香港
1358,信息工程,香港中文大学,香港
1359,化学工程及生物分子工程学,香港科技大学,香港
1360,航空工程,香港科技大学,香港
1361,大数据科技,香港科技大学,香港
1362,化学工程及生物分子工程学,香港科技大学,香港
1363,化学工程及生物分子工程学,香港科技大学,香港
1364,信息技术,香港科技大学,香港
1365,电信学,香港科技大学,香港
1366,电子工程,香港科技大学,香港
1367,电信学,香港科技大学,香港
1368,运输政策与规划,香港大学,香港
1369,电气与电子工程,香港大学,香港
1370,计算机科学,香港大学,香港
1371,计算机科学,香港中文大学,香港
1372,工业工程与物流管理,香港大学,香港
1373,计算机科学,香港大学,香港
1374,电气与电子工程,香港大学,香港
1375,机械工程,香港大学,香港
1376,交通工程,香港大学,香港
1377,机械工程,香港科技大学,香港
1378,计算机科学,香港大学,香港
1379,工业工程与物流管理,香港大学,香港
1380,机械工程,香港大学,香港
1381,电子商务与物流技术,香港中文大学,香港
1382,机械工程,香港科技大学,香港
1383,机械工程,香港大学,香港
1384,机械工程,香港科技大学,香港
1385,智能建筑物技术与管理,香港科技大学,香港
1386,电子工程,香港中文大学,香港
1387,信息工程,香港中文大学,香港
1388,机械工程,香港科技大学,香港
1389,系统工程与工程管理,香港中文大学,香港
1390,生物医学工程,香港中文大学,香港
1391,电子工程,香港科技大学,香港
1392,机械工程,香港大学,香港
1393,信息技术,香港科技大学,香港
1394,环境工程与管理,香港科技大学,香港
1395,计算机科学,香港中文大学,香港
1396,计算机科学,香港城市大学,香港
1397,电子与信息工程,香港理工大学,香港
1398,环境与公共健康管理,香港浸会大学,香港
1399,系统工程与工程管理,香港中文大学,香港
1400,电子与信息工程,香港理工大学,香港
1401,机械工程,香港理工大学,香港
1402,供应链物流管理,香港理工大学,香港
1403,工业物流系统,香港理工大学,香港
1404,工业物流系统,香港理工大学,香港
1405,机械工程,香港城市大学,香港
1406,资讯科技,香港理工大学,香港
1407,城市信息学及智慧城市理学硕士,香港理工大学,香港
1408,金融科技理学硕士,香港中文大学,香港
1409,多媒体资讯科技,香港城市大学,香港
1410,电子资讯工程学,香港城市大学,香港
1411,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1412,电子资讯工程学,香港城市大学,香港
1413,工程管理,香港城市大学,香港
1414,建造管理,香港城市大学,香港
1415,金融科技理学硕士,香港科技大学,香港
1416,电子资讯工程学,香港城市大学,香港
1417,工程管理,香港城市大学,香港
1418,电子与信息工程,香港理工大学,香港
1419,制造系统工程与管理,香港理工大学,香港
1420,工业物流系统,香港理工大学,香港
1421,信息工程,香港中文大学,香港
1422,化学工程及生物分子工程学,香港科技大学,香港
1423,建造管理,香港城市大学,香港
1424,生物医学工程,香港城市大学,香港
1425,机械工程,香港理工大学,香港
1426,材料工程与纳米技术,香港城市大学,香港
1427,电子与信息工程,香港理工大学,香港
1428,电子与信息工程,香港理工大学,香港
1429,机械工程,香港城市大学,香港
1430,电子资讯工程学,香港城市大学,香港
1431,能源及环境,香港城市大学,香港
1432,机械工程,香港城市大学,香港
1433,电子商贸,香港城市大学,香港
1434,工程管理,香港城市大学,香港
1435,机械工程,香港城市大学,香港
1436,绿色科技（能源）,香港浸会大学,香港
1437,建造管理,香港城市大学,香港
1438,电子与信息工程,香港理工大学,香港
1439,环境与公共健康管理,香港浸会大学,香港
1440,能源及环境,香港城市大学,香港
1441,机械工程,香港理工大学,香港
1442,环境管理及工程学,香港理工大学,香港
1443,科技管理,香港理工大学,香港
1444,土木基建工程与管理,香港科技大学,香港
1445,生物医学工程,香港理工大学,香港
1446,电子工程,香港中文大学,香港
1447,电子工程,香港中文大学,香港
1448,计算机科学,香港中文大学,香港
1449,信息技术,香港科技大学,香港
1450,生物医学工程,香港理工大学,香港
1451,能源及环境,香港城市大学,香港
1452,生物医学工程,香港理工大学,香港
1453,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1454,机械工程,香港科技大学,香港
1455,材料工程与纳米技术,香港城市大学,香港
1456,电子工程,香港科技大学,香港
1457,知识及科技管理,香港理工大学,香港
1458,集成电路设计工程,香港科技大学,香港
1459,电子工程,香港科技大学,香港
1460,电子工程,香港科技大学,香港
1461,集成电路设计工程,香港科技大学,香港
1462,电子工程,香港科技大学,香港
1463,集成电路设计工程,香港科技大学,香港
1464,电子与信息工程,香港理工大学,香港
1465,电信学,香港科技大学,香港
1466,大数据科技,香港科技大学,香港
1467,工程管理,香港城市大学,香港
1468,土木工程,香港理工大学,香港
1469,计算机科学,香港中文大学,香港
1470,土木工程,香港理工大学,香港
1471,土木工程,香港理工大学,香港
1472,信息技术,香港科技大学,香港
1473,机械与自动化工程,香港中文大学,香港
1474,测绘及地理资讯学-地理资讯,香港理工大学,香港
1475,能源及环境,香港城市大学,香港
1476,生物医学工程,香港理工大学,香港
1477,机械工程,香港理工大学,香港
1478,机械工程,香港理工大学,香港
1479,材料工程与纳米技术,香港城市大学,香港
1480,电子工程,香港科技大学,香港
1481,电子与信息工程,香港理工大学,香港
1482,多媒体资讯科技,香港城市大学,香港
1483,计算机科学,香港城市大学,香港
1484,资讯系统管理,香港城市大学,香港
1485,航空工程,香港科技大学,香港
1486,化学工程及生物分子工程学,香港科技大学,香港
1487,电信学,香港科技大学,香港
1488,大数据科技,香港科技大学,香港
1489,化学工程及生物分子工程学,香港科技大学,香港
1490,电子工程,香港科技大学,香港
1491,电信学,香港科技大学,香港
1492,生物医学工程,香港中文大学,香港
1493,机械工程,香港科技大学,香港
1494,屋宇设备工程（工学）,香港理工大学,香港
1495,资讯系统管理,香港城市大学,香港
1496,计算机科学,香港城市大学,香港
1497,电子资讯工程学,香港城市大学,香港
1498,电气与电子工程,香港大学,香港
1499,电子与信息工程,香港理工大学,香港
1500,计算机科学,香港中文大学,香港
1501,电子资讯工程学,香港城市大学,香港
1502,机械工程,香港大学,香港
1503,机械工程,香港大学,香港
1504,机械与自动化工程,香港中文大学,香港
1505,信息技术,香港科技大学,香港
1506,系统工程与工程管理,香港中文大学,香港
1507,机械工程,香港大学,香港
1508,环境科学与管理,香港科技大学,香港
1509,电信学,香港科技大学,香港
1510,大数据科技,香港科技大学,香港
1511,机械工程,香港科技大学,香港
1512,大数据科技,香港科技大学,香港
1513,电信学,香港科技大学,香港
1514,机械工程,香港理工大学,香港
1515,机械工程,香港科技大学,香港
1516,电子与信息工程,香港理工大学,香港
1517,电子工程,香港科技大学,香港
1518,集成电路设计工程,香港科技大学,香港
1519,土木基建工程与管理,香港科技大学,香港
1520,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1521,机械工程,香港科技大学,香港
1522,材料工程与纳米技术,香港城市大学,香港
1523,信息工程,香港中文大学,香港
1524,计算机科学,香港中文大学,香港
1525,机械与自动化工程,香港中文大学,香港
1526,能源及环境,香港城市大学,香港
1527,电机工程,香港理工大学,香港
1528,能源及环境,香港城市大学,香港
1529,集成电路设计工程,香港科技大学,香港
1530,软件科技,香港理工大学,香港
1531,信息技术,香港科技大学,香港
1532,电子资讯工程学,香港城市大学,香港
1533,机械工程,香港科技大学,香港
1534,电子资讯工程学,香港城市大学,香港
1535,电信学,香港科技大学,香港
1536,计算机科学,香港大学,香港
1537,电子工程,香港科技大学,香港
1538,机械工程,香港科技大学,香港
1539,信息工程,香港中文大学,香港
1540,能源工程,香港大学,香港
1541,电子工程,香港科技大学,香港
1542,工商管理硕士,香港城市大学,香港
1543,信息工程,香港中文大学,香港
1544,环境工程与管理,香港科技大学,香港
1545,电气与电子工程,香港大学,香港
1546,机械工程,香港大学,香港
1547,电子资讯工程学,香港城市大学,香港
1548,资讯科技,香港理工大学,香港
1549,资讯科技管理,香港浸会大学,香港
1550,建造管理,香港城市大学,香港
1551,可持续与环境设计,香港中文大学,香港
1552,机械与自动化工程,香港中文大学,香港
1553,绿色科技（能源）,香港浸会大学,香港
1554,机械工程,香港大学,香港
1555,软件科技,香港理工大学,香港
1556,生物医学工程,香港理工大学,香港
1557,计算机科学,香港城市大学,香港
1558,资讯系统管理,香港城市大学,香港
1559,资讯系统管理,香港城市大学,香港
1560,信息技术,香港科技大学,香港
1561,电子资讯工程学,香港城市大学,香港
1562,资讯系统管理,香港城市大学,香港
1563,电子资讯工程学,香港城市大学,香港
1564,电子资讯工程学,香港城市大学,香港
1565,电信学,香港科技大学,香港
1566,电子商务与物流技术,香港中文大学,香港
1567,信息工程,香港中文大学,香港
1568,工程企业管理,香港科技大学,香港
1569,电子资讯工程学,香港城市大学,香港
1570,机械工程,香港大学,香港
1571,电信学,香港科技大学,香港
1572,电气与电子工程,香港大学,香港
1573,能源工程,香港大学,香港
1574,机械工程,香港大学,香港
1575,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1576,工程商业管理,香港理工大学,香港
1577,绿色科技（能源）,香港浸会大学,香港
1578,工业工程与物流管理,香港大学,香港
1579,电子工程,香港科技大学,香港
1580,电信学,香港科技大学,香港
1581,机械工程,香港科技大学,香港
1582,电子工程,香港中文大学,香港
1583,电信学,香港科技大学,香港
1584,能源及环境,香港城市大学,香港
1585,电子商务与物流技术,香港中文大学,香港
1586,工业物流系统,香港理工大学,香港
1587,工程企业管理,香港科技大学,香港
1588,机械与自动化工程,香港中文大学,香港
1589,电信学,香港科技大学,香港
1590,信息工程,香港中文大学,香港
1591,机械与自动化工程,香港中文大学,香港
1592,计算机科学,香港中文大学,香港
1593,系统工程与工程管理,香港中文大学,香港
1594,电子资讯工程学,香港城市大学,香港
1595,绿色科技（能源）,香港浸会大学,香港
1596,系统工程与工程管理,香港中文大学,香港
1597,机械工程,香港科技大学,香港
1598,机械工程,香港理工大学,香港
1599,绿色科技（能源）,香港浸会大学,香港
1600,电气与电子工程,香港大学,香港
1601,电子工程,香港中文大学,香港
1602,计算机科学,香港中文大学,香港
1603,电子商务与物流技术,香港中文大学,香港
1604,化学工程及生物分子工程学,香港科技大学,香港
1605,绿色科技（能源）,香港浸会大学,香港
1606,绿色科技（能源）,香港浸会大学,香港
1607,土木基建工程与管理,香港科技大学,香港
1608,先进科技及管理,香港城市大学,香港
1609,资讯科技管理,香港浸会大学,香港
1610,机械工程,香港大学,香港
1611,电子工程,香港中文大学,香港
1612,可持续旅游管理,香港中文大学,香港
1613,计算机科学,香港中文大学,香港
1614,机械与自动化工程,香港中文大学,香港
1615,机械与自动化工程,香港中文大学,香港
1616,电子工程,香港科技大学,香港
1617,信息技术,香港科技大学,香港
1618,环境工程与管理,香港科技大学,香港
1619,电子资讯工程学,香港城市大学,香港
1620,电子工程,香港科技大学,香港
1621,信息技术,香港科技大学,香港
1622,电子工程,香港中文大学,香港
1623,电子工程,香港中文大学,香港
1624,集成电路设计工程,香港科技大学,香港
1625,机械与自动化工程,香港中文大学,香港
1626,电子工程,香港中文大学,香港
1627,计算机科学,香港中文大学,香港
1628,信息工程,香港中文大学,香港
1629,生物医学工程,香港中文大学,香港
1630,信息工程,香港中文大学,香港
1631,机械与自动化工程,香港中文大学,香港
1632,电子工程,香港科技大学,香港
1633,电子工程,香港科技大学,香港
1634,电子资讯工程学,香港城市大学,香港
1635,信息工程,香港中文大学,香港
1636,电子工程,香港中文大学,香港
1637,电子商务与物流技术,香港中文大学,香港
1638,计算机科学,香港大学,香港
1639,机械工程,香港大学,香港
1640,电子工程,香港中文大学,香港
1641,电子商务与物流技术,香港中文大学,香港
1642,电信学,香港科技大学,香港
1643,集成电路设计工程,香港科技大学,香港
1644,电子商务与物流技术,香港中文大学,香港
1645,可持续与环境设计,香港中文大学,香港
1646,计算机科学,香港中文大学,香港
1647,信息工程,香港中文大学,香港
1648,机械与自动化工程,香港中文大学,香港
1649,电信学,香港科技大学,香港
1650,材料工程与纳米技术,香港城市大学,香港
1651,电子工程,香港科技大学,香港
1652,机械工程,香港科技大学,香港
1653,机械工程,香港大学,香港
1654,电子商务与物流技术,香港中文大学,香港
1655,工业工程与物流管理,香港大学,香港
1656,电气与电子工程,香港大学,香港
1657,工业工程与物流管理,香港大学,香港
1658,电气与电子工程,香港大学,香港
1659,工业工程与物流管理,香港大学,香港
1660,电气与电子工程,香港大学,香港
1661,电子工程,香港科技大学,香港
1662,大数据科技,香港科技大学,香港
1663,机械工程,香港科技大学,香港
1664,航空工程,香港科技大学,香港
1665,机械与自动化工程,香港中文大学,香港
1666,机械工程,香港大学,香港
1667,环境健康和安全,香港科技大学,香港
1668,环境科学与管理,香港科技大学,香港
1669,机械工程,香港科技大学,香港
1670,大数据科技,香港科技大学,香港
1671,金融科技理学硕士,香港中文大学,香港
1672,信息工程,香港中文大学,香港
1673,机械与自动化工程,香港中文大学,香港
1674,电子与信息工程,香港理工大学,香港
1675,计算机科学,香港中文大学,香港
1676,工业工程与物流管理,香港大学,香港
1677,电子商务与物流技术,香港中文大学,香港
1678,系统工程与工程管理,香港中文大学,香港
1679,电信学,香港科技大学,香港
1680,系统工程与工程管理,香港中文大学,香港
1681,电子商务与物流技术,香港中文大学,香港
1682,电子工程,香港科技大学,香港
1683,信息工程,香港中文大学,香港
1684,地理监测与公共管理,香港中文大学,香港
1685,电子商务与物流技术,香港中文大学,香港
1686,集成电路设计工程,香港科技大学,香港
1687,电气与电子工程,香港大学,香港
1688,机械工程,香港科技大学,香港
1689,金融科技理学硕士,香港中文大学,香港
1690,电气与电子工程,香港大学,香港
1691,智能建筑物技术与管理,香港科技大学,香港
1692,电气与电子工程,香港大学,香港
1693,电气与电子工程,香港大学,香港
1694,计算机科学,香港大学,香港
1695,电气与电子工程,香港大学,香港
1696,机械工程,香港科技大学,香港
1697,电气与电子工程,香港大学,香港
1698,大数据科技,香港科技大学,香港
1699,系统工程与工程管理,香港中文大学,香港
1700,工业工程与物流管理,香港大学,香港
1701,工业工程与物流管理,香港大学,香港
1702,环境工程与管理,香港科技大学,香港
1703,智能建筑物技术与管理,香港科技大学,香港
1704,电子商务与物流技术,香港中文大学,香港
1705,智能建筑物技术与管理,香港科技大学,香港
1706,集成电路设计工程,香港科技大学,香港
1707,集成电路设计工程,香港科技大学,香港
1708,环境健康和安全,香港科技大学,香港
1709,电子商务与物流技术,香港中文大学,香港
1710,电子商务与物流技术,香港中文大学,香港
1711,智能建筑物技术与管理,香港科技大学,香港
1712,国际航空运输营运管理,香港科技大学,香港
1713,国际航空运输营运管理,香港科技大学,香港
1714,计算机科学,香港中文大学,香港
1715,系统工程与工程管理,香港中文大学,香港
1716,地理监测与公共管理,香港中文大学,香港
1717,机械工程,香港科技大学,香港
1718,化学工程及生物分子工程学,香港科技大学,香港
1719,信息工程,香港中文大学,香港
1720,计算机科学,香港中文大学,香港
1721,机械工程,香港大学,香港
1722,系统工程与工程管理,香港中文大学,香港
1723,计算机科学,香港中文大学,香港
1724,机械工程,香港科技大学,香港
1725,地理监测与公共管理,香港中文大学,香港
1726,航空工程,香港科技大学,香港
1727,航空工程,香港科技大学,香港
1728,电信学,香港科技大学,香港
1729,电子工程,香港科技大学,香港
1730,土木工程,香港理工大学,香港
1731,智能建筑物技术与管理,香港科技大学,香港
1732,集成电路设计工程,香港科技大学,香港
1733,环境健康和安全,香港科技大学,香港
1734,机械与自动化工程,香港中文大学,香港
1735,信息技术,香港科技大学,香港
1736,电子商务与物流技术,香港中文大学,香港
1737,机械与自动化工程,香港中文大学,香港
1738,信息技术,香港科技大学,香港
1739,计算机科学,香港中文大学,香港
1740,电子商务与物流技术,香港中文大学,香港
1741,航空工程,香港科技大学,香港
1742,计算机科学,香港大学,香港
1743,机械工程,香港大学,香港
1744,环境工程,香港大学,香港
1745,环境工程,香港大学,香港
1746,计算机科学,香港中文大学,香港
1747,信息工程,香港中文大学,香港
1748,智能建筑物技术与管理,香港科技大学,香港
1749,计算机科学,香港大学,香港
1750,工业工程与物流管理,香港大学,香港
1751,电气与电子工程,香港大学,香港
1752,航空工程,香港科技大学,香港
1753,机械工程,香港大学,香港
1754,电子商务与物流技术,香港中文大学,香港
1755,大数据科技,香港科技大学,香港
1756,机械工程,香港大学,香港
1757,环境工程与管理,香港科技大学,香港
1758,电信学,香港科技大学,香港
1759,电子工程,香港科技大学,香港
1760,生物医学工程,香港中文大学,香港
1761,系统工程与工程管理,香港中文大学,香港
1762,航空工程,香港科技大学,香港
1763,电子工程,香港科技大学,香港
1764,工程企业管理,香港科技大学,香港
1765,航空工程,香港科技大学,香港
1766,航空工程,香港科技大学,香港
1767,电气与电子工程,香港大学,香港
1768,土木基建工程与管理,香港科技大学,香港
1769,机械工程,香港科技大学,香港
1770,机械工程,香港大学,香港
1771,航空工程,香港科技大学,香港
1772,电子工程,香港中文大学,香港
1773,化学工程及生物分子工程学,香港科技大学,香港
1774,信息技术,香港科技大学,香港
1775,电子商务与物流技术,香港中文大学,香港
1776,机械工程,香港大学,香港
1777,电气与电子工程,香港大学,香港
1778,电气与电子工程,香港大学,香港
1779,机械工程,香港科技大学,香港
1780,电信学,香港科技大学,香港
1781,土木基建工程与管理,香港科技大学,香港
1782,土木基建工程与管理,香港科技大学,香港
1783,生物医学工程,香港中文大学,香港
1784,信息工程,香港中文大学,香港
1785,电机工程,香港理工大学,香港
1786,电子工程,香港中文大学,香港
1787,金融科技理学硕士,香港中文大学,香港
1788,电子资讯工程学,香港城市大学,香港
1789,资讯科技,香港理工大学,香港
1790,电子商贸,香港城市大学,香港
1791,机械工程,香港城市大学,香港
1792,机械工程,香港理工大学,香港
1793,测绘及地理资讯学-测量,香港理工大学,香港
1794,供应链物流管理,香港理工大学,香港
1795,城市信息学及智慧城市理学硕士,香港理工大学,香港
1796,工程商业管理,香港理工大学,香港
1797,电子与信息工程,香港理工大学,香港
1798,电子与信息工程,香港理工大学,香港
1799,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1800,材料工程与纳米技术,香港城市大学,香港
1801,电子资讯工程学,香港城市大学,香港
1802,资讯科技,香港理工大学,香港
1803,电子资讯工程学,香港城市大学,香港
1804,机械工程,香港理工大学,香港
1805,机械工程,香港城市大学,香港
1806,电子与信息工程,香港理工大学,香港
1807,能源及环境,香港城市大学,香港
1808,电子资讯工程学,香港城市大学,香港
1809,电子资讯工程学,香港城市大学,香港
1810,电子商贸,香港城市大学,香港
1811,机械工程,香港理工大学,香港
1812,多媒体资讯科技,香港城市大学,香港
1813,生物医学工程,香港理工大学,香港
1814,电子资讯工程学,香港城市大学,香港
1815,多媒体资讯科技,香港城市大学,香港
1816,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1817,电子资讯工程学,香港城市大学,香港
1818,工程管理,香港城市大学,香港
1819,建造管理,香港城市大学,香港
1820,建造管理,香港城市大学,香港
1821,建造管理,香港城市大学,香港
1822,建造管理,香港城市大学,香港
1823,工程管理,香港城市大学,香港
1824,环境与公共健康管理,香港浸会大学,香港
1825,电子工程,香港科技大学,香港
1826,化学工程及生物分子工程学,香港科技大学,香港
1827,电子商贸,香港城市大学,香港
1828,土木工程,香港理工大学,香港
1829,电子资讯工程学,香港城市大学,香港
1830,环境管理及工程学,香港理工大学,香港
1831,环境管理及工程学,香港理工大学,香港
1832,电子与信息工程,香港理工大学,香港
1833,电子与信息工程,香港理工大学,香港
1834,生物医学工程,香港理工大学,香港
1835,机械工程,香港城市大学,香港
1836,建造管理,香港城市大学,香港
1837,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1838,电子资讯工程学,香港城市大学,香港
1839,能源及环境,香港城市大学,香港
1840,电子商贸,香港城市大学,香港
1841,机械工程,香港城市大学,香港
1842,电子商贸,香港城市大学,香港
1843,工程商业管理,香港理工大学,香港
1844,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1845,工程管理,香港城市大学,香港
1846,建造管理,香港城市大学,香港
1847,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1848,交通工程,香港大学,香港
1849,工程管理,香港城市大学,香港
1850,土木工程,香港理工大学,香港
1851,资讯科技,香港理工大学,香港
1852,工业物流系统,香港理工大学,香港
1853,资讯与科技管理,香港中文大学,香港
1854,机械工程,香港理工大学,香港
1855,能源及环境,香港城市大学,香港
1856,机械工程,香港科技大学,香港
1857,工业工程与物流管理,香港大学,香港
1858,电信学,香港科技大学,香港
1859,电子工程,香港科技大学,香港
1860,环境工程与管理,香港科技大学,香港
1861,工程管理,香港城市大学,香港
1862,土木工程,香港理工大学,香港
1863,计算机科学,香港城市大学,香港
1864,环境管理及工程学,香港理工大学,香港
1865,机械工程,香港城市大学,香港
1866,生物医学工程,香港中文大学,香港
1867,生物医学工程,香港理工大学,香港
1868,电子与信息工程,香港理工大学,香港
1869,电子资讯工程学,香港城市大学,香港
1870,电子商务与物流技术,香港中文大学,香港
1871,国际航运及物流管理,香港理工大学,香港
1872,机械工程,香港科技大学,香港
1873,电信学,香港科技大学,香港
1874,土木工程,香港理工大学,香港
1875,国际航运及物流管理,香港理工大学,香港
1876,屋宇设备工程（工学）,香港理工大学,香港
1877,电子商贸,香港理工大学,香港
1878,计算机科学,香港中文大学,香港
1879,电子工程,香港科技大学,香港
1880,化学工程及生物分子工程学,香港科技大学,香港
1881,化学工程及生物分子工程学,香港科技大学,香港
1882,环境工程与管理,香港科技大学,香港
1883,能源及环境,香港城市大学,香港
1884,能源及环境,香港城市大学,香港
1885,材料工程与纳米技术,香港城市大学,香港
1886,先进科技及管理,香港城市大学,香港
1887,机械工程,香港理工大学,香港
1888,先进科技及管理,香港城市大学,香港
1889,机械与自动化工程,香港中文大学,香港
1890,环境健康和安全,香港科技大学,香港
1891,电子商务与物流技术,香港中文大学,香港
1892,大数据科技,香港科技大学,香港
1893,营运与供应链管理,香港城市大学,香港
1894,化学工程及生物分子工程学,香港科技大学,香港
1895,电信学,香港科技大学,香港
1896,电子工程,香港科技大学,香港
1897,信息技术,香港科技大学,香港
1898,生物技术,香港科技大学,香港
1899,大数据科技,香港科技大学,香港
1900,环境科学与管理,香港科技大学,香港
1901,计算机科学,香港城市大学,香港
1902,计算机科学,香港中文大学,香港
1903,工业工程与物流管理,香港大学,香港
1904,电气与电子工程,香港大学,香港
1905,电子资讯工程学,香港城市大学,香港
1906,电气与电子工程,香港大学,香港
1907,能源及环境,香港城市大学,香港
1908,电子工程,香港中文大学,香港
1909,系统工程与工程管理,香港中文大学,香港
1910,计算机科学,香港城市大学,香港
1911,系统工程与工程管理,香港中文大学,香港
1912,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1913,资讯系统管理,香港城市大学,香港
1914,电子资讯工程学,香港城市大学,香港
1915,资讯系统管理,香港城市大学,香港
1916,土木基建工程与管理,香港科技大学,香港
1917,电子工程,香港中文大学,香港
1918,绿色科技（能源）,香港浸会大学,香港
1919,化学工程及生物分子工程学,香港科技大学,香港
1920,能源及环境,香港城市大学,香港
1921,信息工程,香港中文大学,香港
1922,智能建筑物技术与管理,香港科技大学,香港
1923,科技管理,香港理工大学,香港
1924,电气与电子工程,香港大学,香港
1925,高级环境规划技术,香港中文大学,香港
1926,电气与电子工程,香港大学,香港
1927,先进科技及管理,香港城市大学,香港
1928,信息工程,香港中文大学,香港
1929,电信学,香港科技大学,香港
1930,资讯科技管理,香港浸会大学,香港
1931,软件科技,香港理工大学,香港
1932,高级信息系统,香港浸会大学,香港
1933,电气与电子工程,香港大学,香港
1934,绿色科技（能源）,香港浸会大学,香港
1935,电子资讯工程学,香港城市大学,香港
1936,信息工程,香港中文大学,香港
1937,电子工程,香港科技大学,香港
1938,生物医学工程,香港理工大学,香港
1939,化学工程及生物分子工程学,香港科技大学,香港
1940,电子工程,香港科技大学,香港
1941,生物医学工程,香港中文大学,香港
1942,环境健康和安全,香港科技大学,香港
1943,工程管理,香港城市大学,香港
1944,机械与自动化工程,香港中文大学,香港
1945,集成电路设计工程,香港科技大学,香港
1946,土木与建筑工程理学硕士（建筑工程造价管理方向、土木工程方向）,香港城市大学,香港
1947,机械与自动化工程,香港中文大学,香港
1948,电气与电子工程,香港大学,香港
1949,电子资讯工程学,香港城市大学,香港
1950,绿色科技（能源）,香港浸会大学,香港
1951,系统工程与工程管理,香港中文大学,香港
1952,智能建筑物技术与管理,香港科技大学,香港
1953,系统工程与工程管理,香港中文大学,香港
1954,电子商贸,香港城市大学,香港
1955,营运与供应链管理,香港城市大学,香港
1956,化学工程及生物分子工程学,香港科技大学,香港
1957,电子工程,香港中文大学,香港
1958,计算机科学,香港中文大学,香港
1959,机械与自动化工程,香港中文大学,香港
1960,生物医学工程,香港中文大学,香港
1961,计算机科学,香港中文大学,香港
1962,化学工程及生物分子工程学,香港科技大学,香港
1963,化学工程及生物分子工程学,香港科技大学,香港
1964,资讯科技管理,香港浸会大学,香港
1965,资讯科技管理,香港浸会大学,香港
1966,电机工程,香港理工大学,香港
1967,电机工程,香港理工大学,香港
1968,材料工程与纳米技术,香港城市大学,香港
1969,电子资讯工程学,香港城市大学,香港
1970,信息工程,香港中文大学,香港
1971,资讯科技管理,香港浸会大学,香港
1972,计算机科学,香港中文大学,香港
1973,计算机科学,香港城市大学,香港
1974,计算机科学,香港中文大学,香港
1975,信息工程,香港中文大学,香港
1976,机械与自动化工程,香港中文大学,香港
1977,电信学,香港科技大学,香港
1978,资讯科技管理,香港浸会大学,香港
1979,环境工程与管理,香港科技大学,香港
1980,资讯科技管理,香港浸会大学,香港
1981,工业工程与物流管理,香港大学,香港
1982,计算机科学,香港中文大学,香港
1983,信息工程,香港中文大学,香港
1984,机械与自动化工程,香港中文大学,香港
1985,机械与自动化工程,香港中文大学,香港
1986,机械与自动化工程,香港中文大学,香港
1987,环境工程与管理,香港科技大学,香港
1988,信息工程,香港中文大学,香港
1989,机械工程,香港大学,香港
1990,电机工程,香港理工大学,香港
1991,电子商务与物流技术,香港中文大学,香港
1992,电子工程,香港中文大学,香港
1993,电子工程,香港中文大学,香港
1994,计算机科学,香港中文大学,香港
1995,电子工程,香港中文大学,香港
1996,系统工程与工程管理,香港中文大学,香港
1997,工业工程与物流管理,香港大学,香港
1998,环境管理学,香港大学,香港
