,idErr,reasons
321,638,MISSING BACKGROUND
322,639,MISSING BACKGROUND
323,641,MISSING LANGUAGE
324,657,MISSING LANGUAGE
325,659,MISSING LANGUAGE
326,661,MISSING LANGUAGE
327,664,MISSING LANGUAGE
328,665,MISSING BACKGROUND
329,667,MISSING LANGUAGE
330,681,MISSING LANGUAGE
331,696,MISSING LANGUAGE
332,696,MISSING BACKGROUND
333,699,MISSING LANGUAGE
334,699,MISSING BACKGROUND
335,704,MISSING LANGUAGE
336,707,MISSING LANGUAGE
337,715,MISSING LANGUAGE
338,716,MISSING LANGUAGE
339,717,MISSING BACKGROUND
340,719,MISSING BACKGROUND
341,720,MISSING BACKGROUND
342,723,MISSING BACKGROUND
343,724,MISSING BACKGROUND
344,726,MISSING BACKGROUND
345,727,MISSING BACKGROUND
346,730,MISSING BACKGROUND
347,731,MISSING BACKGROUND
348,732,MISSING BACKGROUND
349,733,MISSING BACKGROUND
350,734,MISSING LANGUAGE
351,734,MISSING BACKGROUND
352,735,MISSING LANGUAGE
353,735,MISSING BACKGROUND
354,736,MISSING BACKGROUND
355,737,MISSING BACKGROUND
356,738,MISSING LANGUAGE
357,738,MISSING BACKGROUND
358,739,MISSING LANGUAGE
359,739,MISSING BACKGROUND
360,740,MISSING BACKGROUND
361,741,MISSING LANGUAGE
362,741,MISSING BACKGROUND
363,742,MISSING LANGUAGE
364,742,MISSING BACKGROUND
365,743,MISSING BACKGROUND
366,744,MISSING BACKGROUND
367,745,MISSING BACKGROUND
368,746,MISSING BACKGROUND
369,747,MISSING BACKGROUND
370,748,MISSING LANGUAGE
371,748,MISSING BACKGROUND
372,749,MISSING BACKGROUND
373,750,MISSING BACKGROUND
374,751,MISSING BACKGROUND
375,752,MISSING BACKGROUND
376,788,MISSING LANGUAGE
377,803,MISSING BACKGROUND
378,835,MISSING BACKGROUND
379,836,MISSING BACKGROUND
380,837,MISSING BACKGROUND
381,845,MISSING LANGUAGE
382,858,MISSING LANGUAGE
383,864,MISSING LANGUAGE
384,872,MISSING LANGUAGE
385,873,MISSING LANGUAGE
386,883,MISSING LANGUAGE
387,884,MISSING LANGUAGE
388,896,MISSING LANGUAGE
389,898,MISSING LANGUAGE
390,899,MISSING LANGUAGE
391,905,MISSING LANGUAGE
392,907,MISSING LANGUAGE
393,916,MISSING LANGUAGE
394,917,MISSING LANGUAGE
395,926,MISSING LANGUAGE
396,931,MISSING LANGUAGE
397,933,MISSING LANGUAGE
398,934,MISSING BACKGROUND
399,939,MISSING BACKGROUND
400,940,MISSING BACKGROUND
401,942,MISSING LANGUAGE
402,946,MISSING LANGUAGE
403,947,MISSING BACKGROUND
404,949,MISSING LANGUAGE
405,952,MISSING BACKGROUND
406,953,MISSING BACKGROUND
407,954,MISSING LANGUAGE
408,954,MISSING BACKGROUND
409,955,MISSING BACKGROUND
410,956,MISSING BACKGROUND
411,957,MISSING BACKGROUND
412,958,MISSING GPA
413,958,MISSING BACKGROUND
414,959,MISSING LANGUAGE
415,959,MISSING BACKGROUND
416,960,MISSING GPA
417,960,MISSING LANGUAGE
418,960,MISSING BACKGROUND
419,961,MISSING BACKGROUND
420,962,MISSING LANGUAGE
421,962,MISSING BACKGROUND
422,963,MISSING BACKGROUND
423,964,MISSING BACKGROUND
424,965,MISSING BACKGROUND
425,966,MISSING BACKGROUND
426,967,MISSING BACKGROUND
427,968,MISSING BACKGROUND
428,969,MISSING LANGUAGE
429,969,MISSING BACKGROUND
430,983,MISSING BACKGROUND
431,987,MISSING LANGUAGE
432,989,MISSING LANGUAGE
433,1008,MISSING LANGUAGE
434,1011,MISSING BACKGROUND
435,1012,MISSING LANGUAGE
436,1017,MISSING LANGUAGE
437,1018,MISSING BACKGROUND
438,1022,MISSING LANGUAGE
439,1028,MISSING LANGUAGE
440,1029,MISSING BACKGROUND
441,1030,MISSING BACKGROUND
442,1040,MISSING LANGUAGE
443,1044,MISSING LANGUAGE
444,1047,MISSING LANGUAGE
445,1047,MISSING BACKGROUND
446,1049,MISSING LANGUAGE
447,1049,MISSING BACKGROUND
448,1050,MISSING BACKGROUND
449,1051,MISSING LANGUAGE
450,1052,MISSING LANGUAGE
451,1055,MISSING LANGUAGE
452,1056,MISSING LANGUAGE
453,1057,MISSING LANGUAGE
454,1059,MISSING LANGUAGE
455,1062,MISSING LANGUAGE
456,1063,MISSING LANGUAGE
